rpm,input_rate_kg_h,blade_type,jacket_temp,machine_prop_a,machine_prop_b,machine_prop_c,discharge_temp
93.6,34.0,A,174.7,8.2,85.1,53.7,213.0
95.6,12.8,F,148.1,82.4,25.5,25.0,195.8
99.4,36.1,E,108.0,70.9,45.6,27.7,156.7
36.7,22.4,G,42.1,9.1,13.8,38.4,80.1
62.3,47.2,C,111.0,9.4,95.5,3.0,149.6
40.4,11.2,D,107.9,98.7,61.0,32.9,131.6
107.7,20.3,A,55.3,38.1,23.6,21.9,125.5
86.1,10.1,D,100.9,37.7,67.5,33.4,159.4
59.8,46.6,G,94.7,81.5,62.2,12.9,136.9
35.7,44.5,E,132.8,94.8,36.5,89.2,153.8
58.0,16.6,E,136.1,98.6,12.2,59.8,161.4
59.3,34.7,G,32.9,75.6,67.5,68.2,79.6
95.7,41.8,A,90.6,38.2,52.5,79.1,150.5
87.4,30.0,C,134.5,9.3,77.5,50.3,171.8
109.8,28.8,B,113.0,77.9,52.5,9.6,173.9
72.5,15.9,A,174.9,56.3,85.4,54.2,199.6
40.8,9.2,B,140.3,43.0,55.6,59.1,158.5
94.2,45.4,G,53.5,90.7,56.5,74.8,120.8
98.5,45.5,F,37.3,12.0,87.8,43.7,111.2
80.5,33.5,B,137.4,49.8,40.9,13.6,174.4
99.4,20.3,C,29.6,2.1,14.3,29.1,94.0
74.4,20.7,F,127.5,47.4,3.8,36.9,158.2
77.0,37.7,B,189.5,6.6,75.8,64.9,213.0
68.5,45.4,G,125.7,12.8,62.4,57.5,162.6
32.3,44.9,F,92.9,12.6,70.7,36.3,120.8
39.7,40.1,G,137.6,65.3,22.1,98.7,151.3
